12160, "Stichting Regionaal Opleidingen Centrum Arnhem"
49788, "Stichting St   Anna Zorggroep"
39658, "Stichting Streekziekenhuis Midden-Twente"
72110, "Stichting Streekziekenhuis Walcheren"
25062, "Stichting Thuiszorg Eindhoven"
50902, "Stichting Thuiszorg Midden-Gelderland"
30467, "Stichting Voor Fundementeel Onderzoek Der Materie"
66630, "Stichting Waterlandziekenhuis"
37524, "Stichting Ziekenhuis Leyenburg"
10309, "Stichting Ziekenhuisvoorzieningen Oost-Achterhoek"
36198, "Stichting Zvbm"
40146, "Still Transport B V"
88740, "Stoas"
96312, "Stora Enso Fine Paper"
13316, "Stork Food and Dairy Systems B V"
37487, "Stork Prints B V"
4810, "Sumitomo Benelux"
31328, "Svedex"
89176, "SVZ  International"
89573, "Syngenta Crop Protection B V"
30518, "Syngenta Seeds B V"
53931, "Synprodo Packaging B V"
99304, "T Boer and Zonen B V"
39633, "TAUW Beheer B V"
1826, "TBI Holdings"
60137, "Tebodin B V"
63089, "Tebodin"
37115, "Consultants and Engineers"
7925, "Technip Benelux B V"
11592, "Technische UNIE"
8578, "Tempo-Team Uitzendbureau"
13599, "Terberg Beheer B V"
63438, "Texas Instruments Holland B V"
17949, "Theeuwes B V"
45326, "Theodorus Niemeyer"
29390, "Toolex International"
44667, "Tootal Fabrics Holland B V"
36827, "Total Raffinaderij Nederland"
39646, "Tractorenbedrijf Gebr VOR Achterveld"
15, "Trebbe Bouwgroep B V"
58419, "Trespa B V"
61102, "Twynstra Gudde N V"
94049, "Unica Installatiegroep B V"
94000, "UNI-Invest"
57775, "Uni-Invest B V"
33647, "Union N V"
6278, "Unit "
73189, "UNIT Agresso"
50797, "Universitair Medisch Centrum Utrecht"
55599, "V & D Vastgoed B V"
45453, "Van den Berg Infrastructuren B V"
50395, "van DEN Bosch Transporten"
71856, "van Der Giessen-de Noord"
60547, "Van der Moolen"
2315, "Van Geel B V"
78669, "Van Merksteijn B V"
2115, "VAN OORD Groep."
13330, "Van Weel Bethesda ziekenhuis"
68033, "van Wijnen Sittard B V"
57696, "VBK Hoorn B V"
57300, "VDL BOVA B V"
1458, "VeBe Floorcoverings B V"
4747, "Veen Bosch and Keuning Uitgevers N V"
47756, "Vegro Beheer B V"
16581, "VEN Groothandelcentrum"
90242, "VER Diaconessenarbeid EHV"
30147, "VER Natuurmonumenten"
23478, "Vereniging Voor Christelijk Voortgezet Onderwijs T"
45769, "Verkerk B V"
27819, "Vialis"
91414, "Vilenzo International"
61897, "Visio Lssb"
74192, "Vitae Groep B V"
96730, "Volker Stevin Rail & Traffic Contracting B V"
52800, "Volvo Truck en Bus Nederland B V"
8562, "Voorbij Groep B V"
25360, "Vos Groep B V"
16833, "Vredestein Banden B V"
11945, "Vroegop Ruhe and B V"
30853, "Wartsila Propulsion Netherlands B V"
87166, "Washington International"
47945, "Waterleidingmij Limburg N V"
26197, "Weener Groep"
75903, "Wereldhave."
32253, "White Products B V"
6102, "Wilton-Fijenoord B V"
40134, "Witteveen EN BOS B V"
58598, "WPG Uitgevers B V"
39686, "Wurfbain Nordmann B V"
72011, "Wurth Nederland B V"
63029, "Yamaha Motor Europe"
52651, "Yokogawa Europe"
48283, "Ziekenhuis Bronovo"
50269, "Ziekenhuis Nij Smellinghe"
89128, "ZND Draad"
77268, "Zuid-Nederlandse Staalbouw B V"
28553, "Zwolle Poort Franciscushof"
69640, "Ferrari"
